months_as_customer,age,policy_bind_date,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,incident_severity,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
328,48,2014-10-17,OH,1000,1406.91,0,MALE,MD,craft-repair,husband,53300,0,2015-01-25,Single Vehicle Collision,Major Damage,SC,Columbus,5,1,YES,1,2,71610,6510,13020,52080,Saab,92x,2004,Y
228,42,2006-06-27,IN,2000,1197.22,5000000,MALE,MD,machine-op-inspct,other-relative,0,0,2015-01-21,Vehicle Theft,Minor Damage,VA,Riverwood,8,1,?,0,0,5070,780,780,3510,Mercedes,E400,2007,Y
134,29,2000-09-06,OH,2000,1413.14,5000000,FEMALE,PhD,sales,own-child,35100,0,2015-02-22,Multi-vehicle Collision,Minor Damage,NY,Columbus,7,3,NO,2,3,34650,7700,3850,23100,Dodge,RAM,2007,N
256,41,1990-05-25,IL,2000,1415.74,6000000,FEMALE,PhD,armed-forces,unmarried,48900,-62400,2015-01-10,Single Vehicle Collision,Major Damage,OH,Arlington,5,1,?,1,2,63400,6340,6340,50720,Chevrolet,Tahoe,2014,Y
228,44,2014-06-06,IL,1000,1583.91,6000000,MALE,Associate,sales,unmarried,66000,-46000,2015-02-17,Vehicle Theft,Minor Damage,NY,Arlington,20,1,NO,0,1,6500,1300,650,4550,Accura,RSX,2009,N
256,39,2006-10-12,OH,1000,1351.1,0,FEMALE,PhD,tech-support,unmarried,0,0,2015-01-02,Multi-vehicle Collision,Major Damage,SC,Arlington,19,3,NO,0,2,64100,6410,6410,51280,Saab,95,2003,Y
137,34,2000-06-04,IN,1000,1333.35,0,MALE,PhD,prof-specialty,husband,0,-77000,2015-01-13,Multi-vehicle Collision,Minor Damage,NY,Springfield,0,3,?,0,0,78650,21450,7150,50050,Nissan,Pathfinder,2012,N
165,37,1990-02-03,IL,1000,1137.03,0,MALE,Associate,tech-support,unmarried,0,0,2015-02-27,Multi-vehicle Collision,Total Loss,VA,Columbus,23,3,?,2,2,51590,9380,9380,32830,Audi,A5,2015,N
27,33,1997-02-05,IL,500,1442.99,0,FEMALE,PhD,other-service,own-child,0,0,2015-01-30,Single Vehicle Collision,Total Loss,WV,Arlington,21,1,NO,1,1,27700,2770,2770,22160,Toyota,Camry,2012,N
212,42,2011-07-25,IL,500,1315.68,0,MALE,PhD,priv-house-serv,wife,0,-39300,2015-01-05,Single Vehicle Collision,Total Loss,NC,Hillsdale,14,1,NO,2,1,42300,4700,4700,32900,Saab,92x,1996,N
235,42,2002-05-26,OH,500,1253.12,4000000,FEMALE,Masters,exec-managerial,other-relative,38400,0,2015-01-06,Single Vehicle Collision,Total Loss,NY,Northbend,22,1,YES,2,2,87010,7910,15820,63280,Ford,F150,2002,N
447,61,1999-05-29,OH,2000,1137.16,0,FEMALE,High School,exec-managerial,other-relative,0,-51000,2015-02-15,Multi-vehicle Collision,Major Damage,SC,Springfield,21,3,YES,1,2,114920,17680,17680,79560,Audi,A3,2006,N
60,23,1997-11-20,OH,500,1215.36,3000000,MALE,MD,protective-serv,wife,0,0,2015-01-22,Single Vehicle Collision,Total Loss,SC,Northbend,9,1,YES,1,0,56520,4710,9420,42390,Saab,95,2000,N
121,34,2012-10-26,OH,1000,936.61,0,FEMALE,MD,armed-forces,wife,52800,-32800,2015-01-08,Parked Car,Minor Damage,SC,Springfield,5,1,NO,1,1,7280,1120,1120,5040,Toyota,Highlander,2010,N
180,38,1998-12-28,OH,2000,1301.13,0,FEMALE,College,machine-op-inspct,not-in-family,41300,-55500,2015-01-15,Single Vehicle Collision,Total Loss,SC,Springfield,12,1,NO,0,2,46200,4200,8400,33600,Dodge,Neon,2003,Y
473,58,1992-10-19,IN,2000,1131.4,0,FEMALE,MD,transport-moving,other-relative,55700,0,2015-01-29,Multi-vehicle Collision,Major Damage,WV,Hillsdale,12,4,YES,0,0,63120,10520,10520,42080,Accura,MDX,1999,Y
70,26,2005-06-08,OH,1000,1199.44,5000000,MALE,College,machine-op-inspct,own-child,63600,0,2015-02-22,Multi-vehicle Collision,Major Damage,NY,Riverwood,0,3,?,1,2,52110,5790,5790,40530,Nissan,Maxima,2012,N
140,31,2004-11-15,IN,500,708.64,6000000,MALE,High School,machine-op-inspct,unmarried,53500,0,2015-01-06,Single Vehicle Collision,Total Loss,WV,Northbend,9,1,NO,0,2,77880,14160,7080,56640,Suburu,Legacy,2015,N
160,37,2014-12-28,OH,500,1374.22,0,FEMALE,MD,craft-repair,other-relative,45500,-37800,2015-01-19,Single Vehicle Collision,Total Loss,NY,Northbrook,19,1,YES,1,0,72930,6630,13260,53040,Accura,TL,2015,N
196,39,1992-08-02,IN,2000,1475.73,0,FEMALE,High School,handlers-cleaners,own-child,57000,-27300,2015-02-22,Multi-vehicle Collision,Major Damage,VA,Columbus,8,3,?,2,0,60400,6040,6040,48320,Nissan,Pathfinder,2014,N
460,62,2002-06-25,IN,1000,1187.96,4000000,MALE,JD,other-service,own-child,0,0,2015-01-01,Multi-vehicle Collision,Minor Damage,NY,Columbus,20,3,NO,1,0,47160,0,5240,41920,Suburu,Impreza,2011,N
217,41,2005-11-27,IL,2000,875.15,0,FEMALE,Associate,machine-op-inspct,own-child,46700,0,2015-02-10,Multi-vehicle Collision,Total Loss,SC,Arlington,15,3,?,1,2,37840,0,4730,33110,Accura,RSX,1996,N
